id,x,y,H,q0
125,156.958,424.008,80.0,10.0
126,154.642,204.196,80.0,10.0
127,470.182,338.659,80.0,10.0
128,451.403,307.757,80.0,10.0
129,150.475,273.969,80.0,10.0
130,327.353,232.494,80.0,10.0
131,336.398,112.32,80.0,10.0
132,207.221,314.883,80.0,10.0
133,97.218,348.177,80.0,10.0
134,247.189,121.992,80.0,10.0
135,375.482,385.023,80.0,10.0
136,333.789,493.946,80.0,10.0
137,297.726,475.02,80.0,10.0
138,359.637,252.389,80.0,10.0
139,415.285,273.936,80.0,10.0
140,448.604,371.828,80.0,10.0
141,135.858,159.855,80.0,10.0
142,270.076,69.187,80.0,10.0
143,210.072,452.419,80.0,10.0
144,190.191,2.948,80.0,10.0
145,209.511,373.758,80.0,10.0
146,273.066,301.626,80.0,10.0
147,168.065,339.571,80.0,10.0
148,202.158,82.522,80.0,10.0
149,233.695,63.814,80.0,10.0
150,13.551,321.375,80.0,10.0
151,105.83,163.423,80.0,10.0
152,380.615,189.563,80.0,10.0
153,376.005,415.962,80.0,10.0
154,9.692,269.71,80.0,10.0
155,499.954,174.98,80.0,10.0
156,325.072,390.617,80.0,10.0
157,10.19,76.191,80.0,10.0
158,63.11,334.729,80.0,10.0
159,281.985,108.982,80.0,10.0
160,349.732,383.449,80.0,10.0
161,83.895,303.624,80.0,10.0
162,409.651,482.36,80.0,10.0
163,479.086,198.327,80.0,10.0
164,345.307,313.621,80.0,10.0
165,60.528,491.922,80.0,10.0
166,214.189,185.285,80.0,10.0
167,252.98,170.616,80.0,10.0
168,317.793,414.354,80.0,10.0
169,353.654,217.744,80.0,10.0
170,366.898,482.737,80.0,10.0
171,269.086,241.749,80.0,10.0
172,232.354,305.166,80.0,10.0
173,42.806,360.037,80.0,10.0
174,290.778,236.63,80.0,10.0
175,265.461,212.752,80.0,10.0
176,351.427,135.458,80.0,10.0
177,92.575,108.192,80.0,10.0
178,242.099,362.293,80.0,10.0
179,89.721,7.074,80.0,10.0
180,487.147,276.679,80.0,10.0
181,348.709,63.14,80.0,10.0
182,434.231,245.439,80.0,10.0
183,281.42,151.918,80.0,10.0
184,382.222,303.159,80.0,10.0
185,330.214,78.529,80.0,10.0
186,86.907,37.532,80.0,10.0
187,1.338,225.252,80.0,10.0
188,144.305,62.177,80.0,10.0
189,344.339,349.867,80.0,10.0
190,471.338,250.236,80.0,10.0
191,246.898,40.221,80.0,10.0
192,19.93,216.014,80.0,10.0
193,235.25,325.755,80.0,10.0
194,173.981,166.654,80.0,10.0
195,335.067,428.867,80.0,10.0
196,161.637,485.092,80.0,10.0
197,379.995,101.779,80.0,10.0
198,219.058,349.125,80.0,10.0
199,79.189,275.42,80.0,10.0
200,276.126,46.605,80.0,10.0
